Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
3031,1483144080.568409, e        ,4.999866,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x70fa,0x0277,Status,11,5,664,330,0.076923,966.425903,422.411316,0,0,0,0,0,0,456.532375,999.992000,475.777375,0.274867,CON,1868800,2048
3032,1483144083.606438, e        ,4.962799,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x9ca3,0xd2b8,Status,20,10,1210,725,-0.174603,1853.792603,1052.631836,0,0,0,0,0,0,249.989156,499.923187,387.453688,443.324187,CON,1868800,2048
3033,1483144086.546468, e        ,4.021923,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x7afa,0x0777,Status,10,5,610,330,0.076923,1092.014893,525.121948,0,0,0,0,0,0,500.011594,1000.022625,477.881062,0.240600,CON,1868800,2048
3034,1483144088.606592, e        ,4.999818,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xb1a3,0xdcb8,Status,21,10,1276,725,-0.131498,1945.670898,1044.838013,0,0,0,0,0,0,239.865375,500.056500,380.660250,443.099750,CON,1868800,2048
3035,1483144091.546493, e        ,4.999911,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x85fa,0x0c77,Status,11,5,678,330,0.166667,987.217590,422.407532,0,0,0,0,0,0,543.455750,1000.003812,475.914812,0.203447,CON,1868800,2048
3036,1483144093.625763, e        ,4.980657,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xc5a3,0xe6b8,Status,20,10,1210,725,-0.174603,1847.145874,1048.857544,0,0,0,0,0,0,250.000500,500.033687,387.390688,443.239719,CON,1868800,2048
3037,1483144096.568048, e        ,4.978362,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x8ffa,0x1177,Status,10,5,610,330,0.076923,882.217896,424.235931,0,0,0,0,0,0,500.000594,999.967188,478.019656,0.372433,CON,1868800,2048
3038,1483144098.626953, e        ,4.999291,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xdaa3,0xf1b8,Status,21,11,1264,804,-0.235294,1926.673218,1169.765869,0,0,0,0,0,0,239.039234,459.690719,381.291156,441.287281,CON,1868800,2048
3039,1483144101.568325, e        ,4.978071,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0x99fa,0x1677,Status,10,5,610,330,0.076923,882.269409,424.260712,0,0,0,0,0,0,499.998594,1000.017812,477.736000,0.684662,CON,1868800,2048
3040,1483144104.547018, e        ,4.078772,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0xeea3,0xfbb8,Status,20,10,1210,725,-0.174603,2255.580811,1280.777588,0,0,0,0,0,0,249.977297,499.951500,387.245000,442.993938,CON,1868800,2048
